id,course_id,term_id,instructor_id
0,0,0,2
1,1,0,15
2,2,0,10
3,3,0,21
4,4,0,14
5,5,0,18
6,6,0,22
7,7,0,14
8,8,0,18
9,9,0,1
10,10,0,17
11,11,0,4
12,12,0,16
13,14,0,0
14,15,0,9
15,16,0,23
16,0,1,6
17,1,1,15
18,2,1,5
19,3,1,21
20,4,1,1
21,5,1,7
22,6,1,22
23,7,1,1
24,7,1,12
25,8,1,7
26,9,1,14
27,10,1,11
28,11,1,12
29,12,1,16
30,14,1,0
31,16,1,23
32,0,2,6
33,1,2,15
34,2,2,10
35,3,2,21
36,4,2,20
37,5,2,7
38,7,2,6
39,7,2,11
40,7,2,20
41,7,2,13
42,7,2,8
43,7,2,24
44,9,2,1
45,9,2,12
46,10,2,4
47,11,2,4
48,12,2,3
49,13,2,19
50,14,2,0
51,16,2,23
